name,stars,online order?,latitude ,longitude ,safety (numerically 1-10),reservations(Y/N),phone number,small images of the food,most popular dishes,review count,number of food items sold,hours open,price range ,delivery?,website links,Address,cusine ,chain,awards,dining style ,region of food,historical background,seating capacity,vegetarian options,average wait time (minutes),parking ,wifi,google maps link,apple maps link,public transport availability ,
Mister Jiu's,4.5,No,37.7941,-122.4064,9,Yes,(415) 857-9688,https://www.theinfatuation.com/san-francisco/reviews/mister-jius,"Liberty Farms Roast Duck, Sea Urchin Cheong Fun, BBQ Pork Buns",152,52,Tue-Sat: 5:00 PM – 10:00 PM,$75-120,No,"https://www.misterjius.com, https://www.exploretock.com/misterjius/","28 Waverly Pl, San Francisco, CA 94108",Contemporary Chinese (Cantonese),No,1 Michelin Star,Fine Dining,Cantonese-Californian,Fine dining spot opened in 2016 by Chef Brandon Jew; occupies historic Chinatown building from 1880s,100,Yes,35,Street,No,https://www.google.com/maps/place/Mister+Jiu's,https://maps.apple.com/?q=Mister+Jiu's,High (Accessible via MUNI lines),Stable
China Live,4.5,Yes,37.7985,-122.4075,9,Yes,(415) 788-8188,"https://chinalivesf.com/wp-content/uploads/2020/10/CL-Dish-1.jpg, https://chinalivesf.com/wp-content/uploads/2020/10/CL-Dish-2.jpg","Peking Duck, Sheng Jian Bao, Dumplings",1887,52,Mon-Thu:12:00 PM–9:00 PM; Fri:12:00 PM–9:30 PM; Sat:4:00 PM–9:30 PM; Sun:4:00 PM–9:00 PM,$50-75,Yes,"https://chinalivesf.com, https://chinalivesf.com/menu/","644 Broadway, San Francisco, CA 94133","Chinese, Asian, Sichuan",No,"Time Magazine's ""World's Greatest Places,"" Eater SF ""Restaurant of the Year""",Casual Dining,Various regions of China,"Opened in 2017 by Chef George Chen, 30,000 sqft culinary complex showcasing diverse Chinese cuisine",120,Yes,30,Street and nearby public garages,No,https://www.google.com/maps/place/China+Live,https://maps.apple.com/?q=China+Live,High (Accessible via MUNI lines),
Eight Tables by George Chen,4,No,37.7974,-122.4081,8,Yes,(415) 788-8788,https://eighttables.com/gallery/,"Peking Duck, Foie Gras Dumplings, Seasonal Tasting Menu",100,52,Tue–Sat: 5:30 PM – 9:00 PM,$75-120,No,https://eighttables.com/,"8 Kenneth Rexroth Pl, San Francisco, CA 94133","Chinese, Californian, Cantonese",No,"World's Best Restaurant Selection by La Liste; ""World's Greatest Places 2018"" by TIME Magazine",Fine Dining,Chinese (Si Fang Cai - Private Chateau Cuisine),Opened in 2017 by Chef George Chen; inspired by Qing dynasty's private chateau cuisine; part of the China Live complex,40,Accommodations available with advance notice,20,Street parking and nearby public garages,No,https://www.google.com/maps/place/Eight+Tables+by+George+Chen/,https://maps.apple.com/?q=Eight+Tables+by+George+Chen,Accessible via MUNI lines; located in Chinatown,Consistently popular; reservations required
R&G Lounge,4,Yes,37.7948,-122.4059,8,Yes,(415) 982-7877,https://www.rnglounge.com/gallery,"Salt & Pepper Crab, Peking Duck, Honey Walnut Prawns",1749,52,Mon–Thu: 11:00 AM–9:00 PM; Fri-Sat: 11:00 AM – 9:30 PM; Sun: 11:00 AM – 9:00 PM,$40-50,Yes,https://www.rnglounge.com,"631 Kearny St, San Francisco, CA 94108","Chinese, Seafood, Cantonese",No,NaN,Casual Dining,Cantonese,"Established 1985, famous for authentic Cantonese seafood and popular with locals and tourists.",200,Yes,20,Street & Validated Garage (Portsmouth Square Garage),No,https://www.google.com/maps/place/R%26G+Lounge,https://maps.apple.com/?q=R%26G+Lounge,Accessible via MUNI lines,Consistently Popular
Good Mong Kok Bakery,4.5,No,37.7963,-122.4078,8,No,(415) 397-2688,https://www.yelp.com/biz_photos/good-mong-kok-bakery-san-francisco,"Baked BBQ Pork Buns, Shrimp Dumplings (Har Gow), Pork Siu Mai","4,200",50,Mon–Sun: 7:00 AM – 6:00 PM,$3-8,No,https://www.goodmongkok.com,"1039 Stockton St, San Francisco, CA 94108","Cantonese, Bakery",No,NaN,Takeout Only,Cantonese,"Established in the heart of Chinatown, renowned for authentic dim sum offerings; cash-only establishment",200,Yes,15,Street parking available,No,https://www.google.com/maps/place/Good+Mong+Kok+Bakery/,https://maps.apple.com/?q=Good+Mong+Kok+Bakery,Accessible via MUNI lines; located in Chinatown,Consistently popular; lines common
Z & Y Restaurant,4,Yes,37.795,-122.406,8,Yes,(415) 981-8988,https://www.zandyrestaurant.com/gallery/,"Peking Roast Duck, Tea-Smoked Sliced Duck, Ma Po Tofu with Pork","1,200",150,"Mon, Wed–Sun: 11:30 AM – 3:00 PM, 4:30 PM – 9:00 PM; Tue: Closed",$25-35,Yes,https://www.zandyrestaurant.com/,"655 Jackson St, San Francisco, CA 94133","Chinese, Sichuan",No,"Michelin Bib Gourmand, Zagat-rated, S.F. Chronicle Top 100 Bay Area Restaurant",Casual Dining,Sichuan,"Established in 2008 by Chef Han, former executive chef at the Chinese Consulate-General in San Francisco; recognized for authentic Sichuan cuisine",100,"Yes, available upon request",10,Street parking and nearby public garages; 5-minute walk from Portsmouth Square Garage,No,https://www.google.com/maps/place/Z+%26+Y+Restaurant/,https://maps.apple.com/?q=Z+%26+Y+Restaurant,Accessible via MUNI lines; located in Chinatown,Consistently popular; reservations recommended
House of Nanking,4,Yes,37.7973,-122.4058,8,Yes,(415) 421-1429,https://www.houseofnankingsf.com/gallery/,"Nanking Sesame Chicken, Fried Onion Cakes, Garlic Fish","6,500",50,Mon–Fri: 11:00 AM – 9:00 PM; Sat–Sun: 12:00 PM – 9:00 PM,$15-20,Yes,https://www.houseofnankingsf.com/,"919 Kearny St, San Francisco, CA 94133","Chinese, Shanghainese",No,"Featured in Condé Nast Traveler, TIME Magazine",Casual Dining,Shanghainese,"Established in 1988 by Peter and Lily Fang; known for chef-selected dishes and long lines; now managed by their daughter, Chef Kathy Fang",50,"Yes, available upon request",10,Street parking and nearby public garages; limited availability,No,https://www.google.com/maps/place/House+of+Nanking/,https://maps.apple.com/?q=House+of+Nanking,Accessible via MUNI lines; located in Chinatown,Consistently popular; reservations recommended
Sam Wo Restaurant,4,Yes,37.7945,-122.4058,8,No,(415) 989-8898,https://samworestaurant.com/gallery,"Jook (rice porridge), BBQ Pork Rice Noodle Roll, Salt & Pepper Chicken Wings",1000,52,Mon–Sun: 11:00 AM – 8:30 PM,$10-20,Yes,https://samworestaurant.com,"713 Clay St, San Francisco, CA 94108","Chinese, Cantonese",No,NaN,Casual Dining,Cantonese,"Established in 1907, famous for late-night Cantonese comfort food and iconic history in Chinatown",50,Yes,15,Street parking and nearby public garages,No,https://www.google.com/maps/place/Sam+Wo+Restaurant/,https://maps.apple.com/?q=Sam+Wo+Restaurant,Accessible via MUNI lines,"Popular, historic local favorite"
Four Kings,4.5,No,37.7946,-122.4048,8,Yes,(415) 688-1500,https://www.itsfourkings.com/gallery/,"Fried Squab, Mapo Spaghetti, Chili Crisp Pig Head",243,30,Thu–Sat: 6:00 PM – 11:00 PM; Sun–Mon: 6:00 PM – 10:30 PM; Closed Tue–Wed,$50-75,No,https://www.itsfourkings.com/,"710 Commercial St, San Francisco, CA 94108","Cantonese, Chinese",No,Michelin Guide Recommended; Esquire's Restaurant of the Year 2024,Casual Dining,Cantonese,Established in 2024 by chefs Franky Ho and Mike Long; inspired by 90's Hong Kong culture and cuisine,50,"Yes, available upon request",25,Street parking available,No,https://www.google.com/maps/place/Four+Kings/,https://maps.apple.com/?q=Four+Kings,Accessible via MUNI lines; located in Chinatown,Consistently popular; reservations recommended
Chong Qing Xiao Mian,4,Yes,37.7964,-122.4054,8,No,(415) 983-0888,https://chongqingxiaomian-sf.com/gallery/,"Spicy Beef Noodle Soup, Dan Dan Noodles, Wonton with Spicy Chili Oil",1300,30,"Mon, Wed–Sun: 11:30 AM – 8:00 PM; Tue: Closed",$10-20,Yes,https://chongqingxiaomian-sf.com/,"915 Kearny St, San Francisco, CA 94133","Chinese, Sichuan",No,"Featured in The Infatuation's ""The Best Noodle Soups In SF""",Casual Dining,Sichuan,Known for authentic Sichuan noodle dishes; popular spot in Chinatown,30,"Yes, available upon request",25,Street parking available; nearby public garages,No,https://www.google.com/maps/place/Chong+Qing+Xiao+Mian/,https://maps.apple.com/?q=Chong+Qing+Xiao+Mian,Accessible via MUNI lines; located in Chinatown,Consistently popular; known for spicy noodle dishes
Golden Gate Bakery,4,No,37.7956,-122.4074,8,No,(415) 781-2627,https://www.yelp.com/biz_photos/golden-gate-bakery-san-francisco,"Famous Egg Custard Tarts, Mooncakes, Lotus Seed Pastries",1500,20,Mon–Sun: 8:00 AM – 8:00 PM,$10-20,No,NaN,"1029 Grant Ave, San Francisco, CA 94133",Chinese Bakery,No,Featured in Condé Nast Traveler for its renowned egg custard tarts,Takeout,Cantonese,Established in the 1970s; known for its elusive hours and highly sought-after pastries,50,"Yes, limited options",15,Street parking available; limited spaces,No,https://www.google.com/maps/place/Golden+Gate+Bakery/,https://maps.apple.com/?q=Golden+Gate+Bakery,Accessible via MUNI lines; located in Chinatown,Consistently popular; frequent lines; check current status before visiting
City View Restaurant,4,Yes,37.7942,-122.4058,8,Yes,(415) 398-2838,https://www.instagram.com/cityviewdimsum/,"Siu Mai, Steamed Pork Buns, Shrimp Dumplings",1500,50,"Tue–Wed: 11:00 AM – 2:00 PM; Thu–Fri: 11:00 AM – 2:00 PM, 5:00 PM – 8:00 PM; Sat–Sun: 10:30 AM – 2:30 PM, 5:00 PM – 8:00 PM; Mon: Closed",$25-40,No,https://www.cityviewdimsum.com/,"33 Walter U Lum Place, San Francisco, CA 94108","Chinese, Dim Sum",No,Featured in Eater SF's Guide to San Francisco's Chinatown,Casual Dining,Cantonese,Established decades ago; relocated from 662 Commercial St. to 33 Walter U Lum Place in 2023; known for traditional dim sum offerings,100,"Yes, available upon request",20,Street parking and nearby public garages; limited availability,No,https://www.google.com/maps/place/City+View+Restaurant/,https://maps.apple.com/?q=City+View+Restaurant,Accessible via MUNI lines; located in Chinatown,Consistently popular; reservations recommended
Empress by Boon,4.5,No,37.7952,-122.4078,8,Yes,(415) 757-0728,https://www.theempresssf.com/gallery.html,"Peking Duck, Iberico Ham Soup Dumplings, Roasted Crispy Chicken",500,18,Tue–Sat: 5:00 PM – 10:00 PM; Sun–Mon: Closed,$75-120,No,https://www.theempresssf.com/,"838 Grant Ave, San Francisco, CA 94108",Modern Cantonese,No,MICHELIN Plate 2022,Casual Elegant,Cantonese,Established in 2021 in the historic Empress of China banquet hall; offers modern Cantonese cuisine with seasonal ingredients,150,"Yes, available upon request",20,Public parking available at Portsmouth Square Plaza Garage; entrance at 733 Kearny Street,No,https://www.google.com/maps/place/Empress+by+Boon/,https://maps.apple.com/?q=Empress+by+Boon,Accessible via MUNI lines; located in Chinatown,Consistently popular; reservations recommended
Yuet Lee,4,No,37.7973,-122.407,8,Yes,(415) 982-6020,https://www.spotlightchinatown.com/yuet-lee,"Salt & Pepper Squid, Sautéed Clams with Black Bean Sauce, Peking Spare Ribs",800,50,"Mon, Wed–Thu: 11:00 AM – 11:00 PM; Fri–Sat: 11:00 AM – 3:00 AM; Sun: 11:00 AM – 11:00 PM; Tue: Closed",$15-25,No,NaN,"1300 Stockton St, San Francisco, CA 94133","Chinese, Cantonese Seafood",No,"Featured in The Infatuation's ""9 Great Old-School Chinese Restaurants In SF""",Casual Dining,Cantonese,Established in 1977; known for authentic Hong Kong-style seafood dishes; recognized as a Legacy Business by San Francisco Heritage,47,"Yes, available upon request",20,Street parking available; limited spaces,No,https://www.google.com/maps/place/Yuet+Lee/,https://maps.apple.com/?q=Yuet+Lee,Accessible via MUNI lines; located at the border of Chinatown and North Beach,Consistently popular; known for late-night dining
Bund Shanghai,4,No,37.7965,-122.4059,8,Yes,(415) 982-0618,https://www.yelp.com/biz_photos/bund-shanghai-san-francisco,"Xiao Long Bao (Soup Dumplings), Pan-Fried Pork Buns, Lion's Head Meatballs",800,50,Mon–Sun: 11:00 AM – 9:30 PM,$15-25,No,http://bundshanghaisf.com/,"640 Jackson St, San Francisco, CA 94133","Chinese, Shanghainese",No,"Featured in The Infatuation's ""The Best Restaurants In San Francisco’s Chinatown""",Casual Dining,Shanghainese,Established in 2008; known for traditional Shanghai cuisine and a variety of dumplings,60,"Yes, available upon request",25,Street parking available; limited spaces,No,https://www.google.com/maps/place/Bund+Shanghai/,https://maps.apple.com/?q=Bund+Shanghai,Accessible via MUNI lines; located in Chinatown,Consistently popular; reservations recommended
Taishan Restaurant,4,Yes,37.796,-122.4058,8,Yes,(415) 982-2844,https://www.ordertaishancuisine.com/gallery,"Shrimp Noodle Roll, Salty Egg Custard Buns, BBQ Pork",50,40,Mon–Sun: 11:00 AM – 10:00 PM,$15-25,Yes,https://www.ordertaishancuisine.com/,"622 Jackson St, San Francisco, CA 94133","Chinese, Cantonese",No,NaN,Casual Dining,Cantonese,Established in 2024; offers traditional Cantonese dishes with a focus on Taishanese cuisine,60,"Yes, available upon request",20,Street parking available; limited spaces,No,https://www.google.com/maps/place/Taishan+Restaurant/,https://maps.apple.com/?q=Taishan+Restaurant,Accessible via MUNI lines; located in Chinatown,Consistently popular; reservations recommended
Begoni Bistro,4,Yes,37.796,-122.4057,8,Yes,(415) 757-0120,https://www.begoni-bistro.com/gallery,"Steamed BBQ Pork Bun, Steamed Shrimp Dumpling, Pan Seared Pot Sticker",500,50,Mon–Sun: 10:00 AM – 9:00 PM,$15-25,Yes,https://www.begoni-bistro.com/,"615 Jackson St, San Francisco, CA 94133","Chinese, Dim Sum",No,NaN,Casual Dining,Cantonese,Established in 2014; offers traditional dim sum and Chinese dishes with a modern twist,80,"Yes, available upon request",20,Street parking available; limited spaces,No,https://www.google.com/maps/place/Begoni+Bistro/,https://maps.apple.com/?q=Begoni+Bistro,Accessible via MUNI lines; located in Chinatown,Consistently popular; reservations recommended
Capital Restaurant,4,No,37.7942,-122.4065,8,Yes,(415) 397-6269,https://www.yelp.com/biz_photos/capital-restaurant-san-francisco,"Fried Chicken Wings with Salt and Hot Pepper, Egg Tofu with Spicy Meat Sauce, Vinegar Sauce Spareribs",800,100,Tue–Sun: 11:00 AM – 8:00 PM; Mon: Closed,$15-25,No,NaN,"839 Clay St, San Francisco, CA 94108","Chinese, Cantonese",No,NaN,Casual Dining,Cantonese,Established around 1986; known for signature dishes like fried chicken wings; family-owned and operated,60,"Yes, available upon request",20,Street parking available; limited spaces,No,https://www.google.com/maps/place/Capital+Restaurant/,https://maps.apple.com/?q=Capital+Restaurant,Accessible via MUNI lines; located in Chinatown,Consistently popular; reservations recommended
Kam Po Kitchen,3.9,No,37.7975,-122.409,8,No,(415) 982-3516,https://www.yelp.com/biz_photos/kam-po-kitchen-san-francisco,"Roast Duck, Roast Pork, Barbecued Pork (Char Siu)",655,50,Mon–Sun: 8:00 AM – 7:30 PM,$10-20,No,https://kampokitchen.shop/,"801 Broadway, San Francisco, CA 94133","Chinese, Cantonese",No,NaN,Casual Dining,Cantonese,Known for authentic Cantonese barbecue dishes; a local favorite for affordable and hearty meals,40,"Yes, available upon request",15,Street parking available; limited spaces,No,https://www.google.com/maps/place/Kam+Po+Kitchen/,https://maps.apple.com/?q=Kam+Po+Kitchen,Accessible via MUNI lines; located in Chinatown,Consistently popular among locals; cash-only establishment
Far East Café,4,No,37.7937,-122.4058,8,Yes,(415) 982-3245,https://www.far-east-cafe.com/banquet.html,"Soy Sauce Chicken, Mongolian Beef, Minced Chicken and Corn Soup",615,50,Mon: 11:30 AM – 9:00 PM; Tue: Closed; Wed–Sun: 11:30 AM – 9:00 PM,$15-25,No,https://www.far-east-cafe.com/,"631 Grant Ave, San Francisco, CA 94108","Chinese, Cantonese",No,Recognized as a San Francisco Legacy Business in 2022,Casual Dining,Cantonese,"Established in 1920; the oldest and last remaining banquet-style Chinese restaurant in San Francisco; features original ornamentations imported from Canton in the 1910s; grand ballroom hosts receptions, special events, and business meetings",680,"Yes, available upon request",25,Street parking available; limited spaces,No,https://www.google.com/maps/place/Far+East+Café/,https://maps.apple.com/?q=Far+East+Café,Accessible via MUNI lines; located in Chinatown,Consistently popular; reservations recommended
New Golden Daisy,4,No,37.7955,-122.4071,8,No,(415) 392-0111,https://www.instagram.com/explore/locations/4327741/new-golden-daisy/,"Fried Chicken Drumettes, Fried Chicken Wings, BBQ Pork with Mixed Vegetables",282,50,Mon–Sun: 7:30 AM – 5:45 PM,$10-20,No,NaN,"1041 Stockton St, San Francisco, CA 94108","Chinese, Cantonese Deli",No,"Featured in Food Network's ""Where to Find the Crispiest Chicken Wings in San Francisco""",Takeout,Cantonese,Known for its fried chicken and traditional Cantonese deli offerings; a local favorite for quick and affordable meals,60,"Yes, limited options",15,Street parking available; limited spaces,No,https://www.google.com/maps/place/New+Golden+Daisy/,https://maps.apple.com/?q=New+Golden+Daisy,Accessible via MUNI lines; located in Chinatown,Consistently popular; known for crispy fried chicken
Hong Kong Clay Pot Restaurant,4,Yes,37.7955,-122.4073,8,No,(415) 989-2638,https://www.yelp.com/biz_photos/hong-kong-clay-pot-restaurant-san-francisco,"Clay Pot Rice with Chinese Sausage and Bacon, Honey Walnut Prawns, Salt and Pepper Pork Chop",500,100,"Mon–Tue, Thu–Sat: 11:00 AM – 3:00 PM; Sun: 11:30 AM – 3:00 PM; Closed on Wednesdays",$15-25,Yes,https://hongkongclaypottogo.com/,"960 Grant Ave, San Francisco, CA 94108","Chinese, Cantonese",No,NaN,Casual Dining,Cantonese,Known for authentic Cantonese clay pot dishes; a local favorite for traditional flavors,50,"Yes, available upon request",25,Street parking available; limited spaces,No,https://www.google.com/maps/place/Hong+Kong+Clay+Pot+Restaurant/,https://maps.apple.com/?q=Hong+Kong+Clay+Pot+Restaurant,Accessible via MUNI lines; located in Chinatown,Consistently popular; reservations recommended
Lai Hong Lounge,4,Yes,37.797,-122.4095,8,Yes,(415) 397-2290,https://www.instagram.com/laihonglounge/,"Shrimp Har Gow, Xiao Long Bao, Siu Mai",2700,50,"Mon–Sun: 10:00 AM–2:30 PM, 5:30 PM–8:30 PM",$15-35,Yes,https://www.laihonglounge.com/,"1416 Powell St, San Francisco, CA 94133","Chinese, Dim Sum",No,NaN,Casual Dining,Cantonese,Popular for traditional Cantonese dim sum in a banquet-style dining atmosphere; attracts locals and tourists alike,100,Yes,20,Street parking (limited),No,https://www.google.com/maps/place/Lai+Hong+Lounge,https://maps.apple.com/?q=Lai+Hong+Lounge,Accessible via MUNI lines,Consistently popular; reservations recommended
Osmanthus Dim Sum Lounge,4.4,Yes,37.7975,-122.405,8,Yes,(415) 872-9648,https://osmanthusdimsum.com/gallery.html,"Steamed Pork and Shrimp Siu Mai, Steamed BBQ Pork Bun, Chow Mein",34,50,Mon–Sun: 10:30 AM – 8:00 PM,$15-25,Yes,https://osmanthusdimsum.com/,"504 Broadway, San Francisco, CA 94133","Chinese, Dim Sum",No,NaN,Casual Dining,Cantonese,Offers a variety of handcrafted dim sum dishes; known for its modern ambiance and traditional flavors,80,"Yes, available upon request",20,Street parking available; limited spaces,No,https://www.google.com/maps/place/Osmanthus+Dim+Sum+Lounge/,https://maps.apple.com/?q=Osmanthus+Dim+Sum+Lounge,Accessible via MUNI lines; located near North Beach and Chinatown,Consistently popular; reservations recommended
Eastern Bakery,4.5,No,37.7941,-122.4078,8,No,(415) 433-7973,https://www.yelp.com/biz_photos/eastern-bakery-san-francisco,"Mooncakes, Coffee Crunch Cake, Lotus Paste Pastries",128,30,Mon–Sun: 9:30 AM – 8:30 PM,$10-20,No,https://www.easternbakery.com/,"720 Grant Ave, San Francisco, CA 94108","Chinese, Bakery",No,"Oldest Chinese bakery in San Francisco's Chinatown, established in 1924",Casual Bakery,Cantonese,Established in 1924; known for traditional Chinese pastries and as the oldest Chinese bakery in Chinatown,50,"Yes, limited options",5,Street parking available; limited spaces,No,https://www.google.com/maps/place/Eastern+Bakery/,https://maps.apple.com/?q=Eastern+Bakery,Accessible via MUNI lines; located in Chinatown,Consistently popular; known for traditional pastries
Delicious Dim Sum,4.5,No,37.7964,-122.4075,8,No,(415) 781-0721,https://www.instagram.com/explore/locations/237966557/delicious-dim-sum/,"Har Gow (Shrimp Dumplings), Shrimp and Chive Dumplings, Pork Shumai",92,30,Mon–Tue: 8:30 AM – 5:30 PM; Wed: Closed; Thu–Sun: 8:30 AM – 6:00 PM,$3-8,No,NaN,"752 Jackson St, San Francisco, CA 94133","Chinese, Dim Sum",No,Extolled by visitors as some of the best dim sum found outside of Hong Kong,Takeout,Cantonese,Known for authentic Cantonese dim sum offerings; popular among locals and tourists alike,60,"Yes, limited options",5,Street parking available; limited spaces,No,https://www.google.com/maps/place/Delicious+Dim+Sum/,https://maps.apple.com/?q=Delicious+Dim+Sum,Accessible via MUNI lines; located in Chinatown,Consistently popular; known for traditional dim sum
Dumpling Home,4.5,Yes,37.7765,-122.4213,9,Yes,(415) 503-1666,https://www.dumplinghome.com/gallery/,"Pork Xiao Long Bao, Crab and Pork Xiao Long Bao, Juicy Pork Buns",1200,50,"Lunch: 11:30 AM – 2:15 PM; Dinner: 5:00 PM – 8:15 PM (Sun–Thu), 5:00 PM – 8:45 PM (Fri–Sat)",$15-25,Yes,https://www.dumplinghome.com/,"298 Gough St, San Francisco, CA 94102","Chinese, Dumplings",No,Recognized in the Michelin Guide for exceptional soup dumplings,Casual Dining,Cantonese,Established in 2020; acclaimed for handcrafted soup dumplings and traditional Cantonese dishes,50,"Yes, available upon request",20,Street parking available; limited spaces,No,https://www.google.com/maps/place/Dumpling+Home/,https://maps.apple.com/?q=Dumpling+Home,Accessible via MUNI lines; located in Hayes Valley,Consistently popular; reservations recommended
Hing Lung Company (Go Duck Yourself),4.5,Yes,37.7879,-122.4186,8,No,(415) 397-5521,https://www.yelp.com/biz_photos/hing-lung-company-aka-go-duck-yourself-san-francisco-3,"Roast Duck, Crispy Pork Belly, Honey Glazed BBQ Pork",1200,20,Wed–Sun: 10:30 AM – 7:30 PM,$25-35,Yes,https://hing-lung-company-aka-go-duck-yourself.pops-cafe.com/,"927 Post St, San Francisco, CA 94109","Chinese, Cantonese BBQ",No,Recognized as one of San Francisco's premier Cantonese BBQ establishments,Casual Dining,Cantonese,Established over 40 years ago; relocated from Chinatown to Tenderloin in 2024 due to rent increases and building conditions,0,"Yes, limited options",10,Street parking available; limited spaces,No,https://www.google.com/maps/place/Hing+Lung+Company/,https://maps.apple.com/?q=Hing+Lung+Company,Accessible via MUNI lines; located in Tenderloin,Consistently popular; known for traditional Cantonese BBQ
